Dutch,English,Additional Info
de lucht,sky,
het vliegtuig,plane,
vliegen,fly,
rijden op de fiets,ride the bike,
met de hond lopen/wandelen,walk the dog,
haar,her,
zwemmen,swim,ik zwem
luisteren,listen,
zorgen,care,
vertellen,tell,ik vertel
durven,dare,ik durf
verliezen,lose,ik verlies
snijden,cut,ik snijd
blijven,stay,ik blijf
de sieraden,jewelry,
nooit,never,
altijd,always,
de wedstrijd,match,
vegen,sweep,ik veeg
dweilen,mop,
de vloer,floor,
lezen,read,ik lees
leren,learn,ik leer
studeren,study,ik studeer
maakt een foto van het standbeeld,take a photo of the statue,
het standbeeld,statue,
het kind,child,
rijden in de auto,driving in the car,
dit huis,this house,die huizen
de boom,tree,de bomen
de boot,boat,de boten
de boot vaart op het water,the boat sails on the water,
varen,"travel, sail (always on the water)",ik vaar
ijs,ice,
het ijsje,ice cream,
ik ben negenentwintig jar oud,I am 29 years old,
nieuw,new,nieuwe schoenen
de familie,family,
het cijfer,"grade, digit",
de pen,pen,
rood,red,
afhangen,depend,het hangt af van
de koffie,coffee,
de thee,tea,
we zijn klaar met de les,we are done with the lesson,
ik ben klaar,I am ready,
ziek,sick,
de timmerman,carpenter,
de vriend,friend,"de vriendin, e.g. we zijn goede vrienden"
geven,give,ik geef
de vraag,question,de vragen
het antwoord,reply,
we zijn samen,we are together,
het geld,money,
gebruiken,use,
anders,different,
ik heb zin in,I feel like,Heb je zin in koffie?
ik heb honger,I am hungry,
de kinderen hebben dorst,the children are thirsty,
heb je het koud of warm?,Are you cold or hot?,
het geluid,sound,
ik heb last van dat geluid,I am bothered by that sound,
wanneer hebben jullie vakantie?,When are you on holiday,
we hebben morgen geen les,we don't have a lesson tomorrow,
morgen,tomorrow,
vandaag,today,
hij heeft pijn aan zijn arm,he has pain at his arm,
de pijn,pain,
de hoofdpijn,headache,
de griep,flu,ik heb griep
de koorts,fever,ik heb koorts
wij hebben vaak ruzie,we often argue,
jij hebt geluk!,you're lucky,
de zus,sister,"het zusje, pl. zussen"
de tuin,garden,
mooi,beautiful,
de jas,jacket,
de winkel,store,
de nicht,niece,
zwanger,pregnant,
te laat,too late,
het boek,book,
het woordenboek,dictionary,
erg,very,
thuis,"home, at home",ik ben morgen niet thuis
het balkon,balcony,
de helm,helmet,
de ervaring,experience,
ik ben er geweest meer keer met vrinden,I have been there more times with friends,
de gracht,canal,
kamperen,camp,
leeg,empty,
vol,full,
vaak,often,
het gebied,region,
het strand,beach,
groeien,grow,je bent gegroeit
de doop,baptism,
Pasen,Easter,
genieten van,enjoy,
ontspannen weekend,relaxed weekend,
daarna ben ik terug gekomen,then I came back,
ik ben op het strand geweest,I was at the beach,
verschilende,various,
we gaan naar de kroeg,we go to various pubs,
indrukwekkend,impressive,
oostelijk,eastern,
het weer,weather,
kaal,bald,
de herinnering,memory,
wat doe je in je vrij tijd,what do you do in your free time,
de boer,farmer,
de buur,neighbor,
de oorbel,earring,
vallen,fall,ik val
de put,well,
we stoppen even,we stop for a little while,
komen op bezoek,pay a visit,
de bril,glasses,
ermitzien,to look / the way you look,
de afdeling,department,
knippen,cut w scissors,
gooien,throw,
halen,catch,
Ik heb de bus net gehaald,I just caught the bus,
net ,just,
leven,live,
dansen,dance,
sporten,do sports,
vieren,celebrate,
tanden poetsen,brush teeth,
allemaal,everyone,
de cursus,course,
andere,other,
lesgeven,teach,ik geef les
de dag,day,
beginnen,begin,begon/begonnen - begonnen
kennismaken,get to know,
wie,who,
wat,what,
de voornaam,first name,
de achternaam,surname,
welk,which,
de buurman,neighbor,
hoe,how,
heten,is called,ik heet
hoe heet jij,what's your name,
waar,where,
het adres,address,
het nummer,number,
zeggen,say,
maar,but,
hier,here,
al,already,
het jaar,year,pl. de jaar
verdergaan,continue,ik ga verder
iedereen,everyone,allemaal
de bladzijde,page,
stoppen,stop,
de pauze,break,
de tekst,text,
even,for a moment,
kun je dat spellen?,can you spell that?,
hoe spel je dat?,how do you spell that?,
zitten,sit,
deze,this ,
de plaats,"seat, place",
de kop,cup,het kopje
al lang,for a long time,
pas,only,
eigenlijk,"actually, really",
gisteren,yesterday,
ik ben jarig,it's my birthday,
dus,therefore,
krijgen,"get, receive",
nog,any,
het bezoek,visit,
de broer,brother,
wel,certainly,
lang,tall,
nog meer,anymore,
kijken,look,kijken naar
het haar,hair,
heel,very,
donker,dark,
op dit moment,at this time,
doen,do ,
daar,there,
op vakantie,on vacation,
het seizoen,season,
het werk,work,
wanneer,when,
weten,know,
willen,will,
laat,late,
weer,again,het weer = weather
het bezit,possession,
januari,January,
februari,February,
maart,March,
april,April,
mei,May,
juni,June,
juli,July,
augustus,August,
september,September,
oktober,October,
november,November,
december,December,
de winter,winter,
de lente,spring,het voorjaar
de zomer ,summer,
de herfst,autumn,het najaar
eerigisteren,the day before yesterday,
overmorgen,the day after tomorrow,
maandag,Monday,
dinsdag,Tuesday,
woensdag,Wednesday,
donderdag,Thursday,
vrijdag,Friday,
zaterdag,Saturday,
zondag,Sunday,
samen,together,
prettig met je kennis te maken,nice to meet you,
kennen,know (people),
ik wil graag cola,I would like a cola,
nemen,take,ik neem
roepen,call,ik roep de ober
de ober,waiter,
bestellen,order,
mogen,may,ik mag
zulen,shall,ik zal
nog een keer,once more,
betalen,pay ,ik betaal
afrekenen,pay the bill,
ik roep de ober om te bestellen,I call the waiter to order,
we willen een tweede rondje bestellen,we want to order a second round,
mag ik afrekenen?,may I pay?,
moe,tired,
zwaar,heavy,een zwaar weekend
het meer,lake,
muziek spelen,play music,
de muziek,music,
geleden,ago,
ik geef een rondje aan anderen,I give/buy a round for the others,
ik vraag de ober of zij cola hebben,I ask the waiter if they have cola,
als,"if/whether, like",
wat een leuk idee,what a nice idea,
ik ben bij de bakker,I am at the bakery,
de bakker,"baker, bakery",
Ik maak de vloer schoon,I clean the floor,
het meel,flour,
het ei,egg,de eieren
de bon (of de kassabon),receipt (at the supermarket),
hij zoekt de boodschappen op zijn lijstje,he searches the groceries in his list,
vallen op de grond,fall on the ground,
de portemonnee,wallet,
zij kijkt naar iets in haar portemonnee,she looks at sth in her waller,
pakken,take,
het verschil,difference,
hij pakt melk uit de koeling,he takes milk from the fridge,
de koeling,supermarket fridge,
de koelkast,house fridge,de ijskast
als het weer mooi is ,if the weather is nice,
ik maak een BBQ bij een meer,I make a BBQ by a lake,
soms,sometimes,
vorige,previous,
wil je meedoen?,do you want to join?,
elkaar ontmoeten,meet each other,
prima voor mij,fine for me,
Doe maar een biertje,Give me a beer,
tegenkomen,"come across, meet",
het probleem,problem,
niet zo,not so,
belangrijk,important,
een par dagen,a few days,
prachtig,"fine, splendid",
romantisch,romantic,
direct,"right now, immediately",
iets,sth,
afspreken,make an appointment,
de afspraak,"date, appointment",
de datum,date,
dat lukt niet,that doesn't work,
dan,then,
blijf je ook eten?,will you stay also to eat?,
de agenda,agenda,
hartstikke leuk,"terrific, fantastic",
vind ik ook,I think so too,
gauw,quickly,
wensen,wish,
ik moet ervandoor,Ihave to go,
ervandoor gaan,"leave, go away",
ervandoor ,away,
doe de groeten aan,give my regards to ,
volgende,next,vorige = previous
tot dan,until then,
waar,TRUE,"niet waar = false, not true"
zullen we iets afspreken?,shall we plan sth / meet?,
uitstekend,excellent,
beantwoorden,reply (v),
spoedig,quick,snel
